,left_x,left_y,width,height,area,center_x,center_y
0,0.0,0.0,252.0,312.0,66428.0,127.13611729993376,153.25010537725055
1,52.0,25.0,25.0,27.0,499.0,63.967935871743485,38.1503006012024
2,123.0,41.0,25.0,27.0,497.0,134.52515090543258,53.370221327967805
3,82.0,62.0,25.0,27.0,510.0,93.8078431372549,74.59607843137255
4,163.0,72.0,26.0,26.0,507.0,175.9921104536489,84.31163708086785
5,35.0,85.0,25.0,27.0,524.0,47.583969465648856,98.37022900763358
6,121.0,86.0,26.0,28.0,517.0,132.4506769825919,100.22630560928434
7,205.0,93.0,25.0,26.0,496.0,216.88508064516128,105.46572580645162
8,76.0,107.0,25.0,28.0,522.0,87.94061302681992,121.227969348659
9,8.0,125.0,27.0,26.0,494.0,22.119433198380566,137.585020242915
10,149.0,125.0,26.0,26.0,514.0,161.76070038910507,137.69844357976655
11,191.0,143.0,27.0,27.0,496.0,204.4758064516129,155.6491935483871
12,108.0,144.0,26.0,25.0,496.0,119.5241935483871,155.75604838709677
13,52.0,151.0,25.0,26.0,518.0,63.98455598455598,163.58880308880308
14,139.0,178.0,27.0,26.0,511.0,151.26418786692759,190.44422700587083
15,16.0,180.0,25.0,27.0,514.0,28.00194552529183,192.6828793774319
16,83.0,186.0,25.0,27.0,518.0,94.56177606177606,199.12548262548262
17,184.0,188.0,26.0,28.0,504.0,196.93849206349208,201.90277777777777
18,46.0,216.0,24.0,26.0,516.0,57.82364341085271,228.18023255813952
19,117.0,219.0,27.0,26.0,529.0,128.91115311909263,231.4045368620038
20,159.0,230.0,28.0,27.0,501.0,174.00199600798402,242.23353293413174
21,79.0,248.0,26.0,26.0,520.0,91.8923076923077,260.1923076923077
22,36.0,263.0,26.0,27.0,492.0,48.03455284552845,275.8577235772358
23,119.0,275.0,27.0,27.0,494.0,131.11133603238866,287.4412955465587
24,164.0,276.0,26.0,31.0,507.0,177.38264299802762,289.7317554240631
